Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,9,104,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,10,104.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,11,111.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,12,111.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,13,126.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,14,112,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,15,136.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,16,124.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,17,127,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,18,127.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,19,133.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,20,164.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,21,152.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,22,125.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,23,123.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,0,121.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,1,115,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,2,116.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,3,102.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,4,85.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,5,75.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,6,81,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,7,82.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,8,84.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,9,83,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,10,107.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,11,110.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,12,99.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,13,58.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,14,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,15,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,16,61.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,17,70.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/13/2015,2015,12,13,18,66.2,UG/M3,1 Hr,Valid
